,Movies_name,Release_year,Screen_time,Ratting,Genres,About
0,Ramayana: The Legend of Prince Rama,(1993),135 min,9.2,"Animation, Action, Adventure","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
1,DAMaN,(2022),121 min,9.0,"Adventure, Drama","The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
2,Al-risâlah,(1976),207 min,8.9,"Action, Adventure, Biography","The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah."""
3,#Home,(2021),158 min,8.8,Drama,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones."
4,Rocketry: The Nambi Effect,(2022),157 min,8.7,"Biography, Drama","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
5,The Kashmir Files,(2022),170 min,8.6,Drama,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
6,Anbe Sivam,(2003),160 min,8.6,"Adventure, Comedy, Drama","Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
7,Jersey,(2019),157 min,8.5,"Drama, Sport",A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.
8,Gol Maal,(1979),144 min,8.5,"Comedy, Romance",A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
9,3 Idiots,(2009),170 min,8.4,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
10,Sardar Udham,(2021),164 min,8.4,"Biography, Crime, Drama","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
11,Black Friday,(2004),143 min,8.4,"Action, Crime, Drama","A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
12,Dil Bechara,(2020),101 min,8.4,"Comedy, Drama, Romance","The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
13,Kaun Pravin Tambe?,(2022),134 min,8.4,"Biography, Drama, Sport","An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's career ends, he starts a new chapter of his life."
14,Mahanati,(2018),177 min,8.4,"Biography, Drama","Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
15,Dangal,(2016),161 min,8.3,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
16,Taare Zameen Par,(2007),165 min,8.3,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
17,K.G.F: Chapter 2,(2022),168 min,8.3,"Action, Crime, Drama","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
